"SHIP","SURVEY","EVENT_ID","STATION","GEAR","PARTITION","EQ_TIME","EQ_LATITUDE","EQ_LONGITUDE","HB_TIME","HB_LATITUDE","HB_LONGITUDE","HEAD_ROPE_DEPTH","NET_HEIGHT","HEAD_ROPE_TEMP","DOORSOUT","DO_LATITUDE","DO_LONGITUDE","AVG_NET_VERT_OPENING","AVG_NET_HORI_OPENING","AVG_HEAD_ROPE_DEPTH","AVG_TRAWL_WIRE_OUT","BOTTOM_DEPTH_END","BOTTOM_DEPTH_START","EVENT_TYPE","PERFORMANCE_CODE","COMMENTS"
135,202101,157,"39","Bongo/FastCat","Codend","09122021 16:11:30.043",64.5002,-166.9999,"",,,,,,"",,,,,,,25,27,11,0,""
135,202101,106,"26","3m Beam Trawl","Codend","09072021 20:43:42.872",62.4925,-169.9823,"09072021 20:48:47.650",62.4922,-169.9773,,,,"",,,,,,,36,36,3,0,""
135,202101,136,"34","CTD","Codend","09102021 15:58:50.073",63.495,-168.0046,"",,,,,,"",,,,,,,,,51,0,""
135,202101,152,"38","CTD","Codend","09112021 20:59:14.386",65.0022,-167.5036,"",,,,,,"",,,,,,,,,51,0,""
135,202101,133,"33","Bongo/FastCat","Codend","09102021 00:34:12.486",63.5005,-166.9983,"",,,,,,"",,,,,,,27,27,11,0,""
135,202101,15,"4","Benthic Grab","Codend","08312021 16:15:11.951",60.0003,-171.0095,"",,,,,,"",,,,,,,68,68,56,0,""
135,202101,137,"34","Bongo/FastCat","Codend","09102021 16:06:56.391",63.4938,-168.0063,"",,,,,,"",,,,,,,32,32,11,0,""
135,202101,176,"44","CTD","Codend","09142021 01:41:57.376",64.1006,-164.4977,"",,,,,,"",,,,,,,,,51,0,""
135,202101,198,"52","CTD","Codend","09152021 20:55:46.878",64.3006,-167.0001,"",,,,,,"",,,,,,,,,51,0,""
135,202101,82,"20","CanTrawl","Codend","09052021 21:28:04.661",61.9978,-167.0458,"09052021 21:58:30.616",61.9949,-167.121,,18.86,,"",,,18.86,52,,330,29,29,50,0,""
135,202101,41,"10","CTD","Codend","09022021 16:25:07.798",61.0058,-167.0026,"",,,,,,"",,,,,,,,,51,0,""
135,202101,1,"1","Benthic Grab","Codend","08202017 16:17:01.428",60.0006,-168.0064,"",,,,,,"",,,,,,,21,21,56,0,""
135,202101,45,"11","CTD","Codend","09022021 20:28:38.688",61.0025,-168.002,"",,,,,,"",,,,,,,,,51,0,""
135,202101,114,"28","3m Beam Trawl","Codend","09082021 16:23:19.604",62.4971,-168.0003,"09082021 16:28:24.334",62.4951,-167.9998,,,,"",,,,,,,29,29,3,0,""
135,202101,30,"7","CanTrawl","Codend","09012021 16:38:17.334",60.4999,-168.9578,"09012021 17:08:43.064",60.503,-168.8885,,16.76,,"",,,16.76,49.71,,330,37,38,50,0,""
